std	inv	dif
SNHG5	16.0431542358417	3.87242924889463	12.1707249869471
CAMK4	14.6433318326059	10.0110042738416	4.63232755876424
BCL11A	13.3897164465783	17.2363891924871	-3.84667274590876
PIK3R5	18.7284454093106	18.1370312734593	0.591414135851327
IL4R	17.3864046382376	17.8768975219747	-0.490492883737133
CD276	11.3406759105257	0.204756899022426	11.1359190115033
NFATC1	15.4007848066925	3.8405325094386	11.5602522972539
CACNB2	12.1293417182147	18.9622788607708	-6.83293714255612
NCF2	15.3088415240497	13.5929845216577	1.71585700239205
CD300LB	16.8442201517732	15.3905263347103	1.45369381706291
GCNT3	19.0708815733885	16.1351501186418	2.93573145474669
