"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000182109"	122.610831754445	1.16659598543063	0.322683918581037	0.000300011440396618	0.107674105958346
"ENSG00000196421"	79.8456196892019	1.44669577797868	0.351739336520823	3.90589424785944e-05	0.0175228180694594
"ENSG00000203875"	3090.94791365795	-1.96618572199079	0.212908129512152	2.58522434369925e-20	4.63918508476831e-17
"ENSG00000205181"	7.19623346979402	-1.35160790224849	0.382440619775742	0.000409067044672996	0.133467420302853
"ENSG00000211625"	12.6627932717925	-1.77950909034768	0.388164754453284	4.55254928286011e-06	0.00281766701123975
"ENSG00000211968"	20.7823643975835	-1.84640367176199	0.538422119525891	0.000605170485517685	0.16707360557869
"ENSG00000215241"	11.2342866833631	1.42533378580006	0.384570100321319	0.000210305666064578	0.0838652261673077
"ENSG00000224114"	25.2717846386232	-3.30201993605394	0.334376664161385	5.33527247314143e-23	1.91482929061046e-19
"ENSG00000231007"	11.0120591257907	1.66326634412856	0.389931193614996	1.99421020087275e-05	0.0102246005870461
"ENSG00000250850"	26.3171459535561	-1.2134794739647	0.352002695278058	0.000566096914669559	0.16707360557869
"ENSG00000254829"	14.7084486887942	1.69456557982658	0.370211979483998	4.71050489480036e-06	0.00281766701123975
"ENSG00000259674"	199.532122104028	1.34568267589031	0.210548149272108	1.6444918128306e-10	1.96736037208301e-07
"ENSG00000265579"	25.5499077902156	1.84557233783584	0.377949249163346	1.04419157271082e-06	0.000936900888614782
