"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000005884"	124.402522526888	-0.940675404705704	0.202396373408366	3.35674438456681e-06	0.00224640793647177
"ENSG00000063438"	1512.60199254541	0.362744834141527	0.105279508511391	0.000569918081721543	0.104018685036632
"ENSG00000064547"	266.519818333262	-0.566430832496987	0.187538473554911	0.00252487163475915	0.284248632825315
"ENSG00000066294"	568.023596644738	0.566789461910628	0.113587327558513	6.04104031188835e-07	0.000572886990775671
"ENSG00000066923"	1948.23575704021	-0.641534014294685	0.198528982255885	0.00123169221719817	0.172675032331509
"ENSG00000071282"	72.6287095196514	-1.20625436034381	0.261205632301234	3.87408014908404e-06	0.00233335847379332
"ENSG00000075142"	1944.6996294276	0.414275836361636	0.116845581901831	0.000391871205313006	0.0874163062814901
"ENSG00000077238"	1038.35926889662	-0.396655468919534	0.131052780769221	0.00247251574834329	0.280980421740975
"ENSG00000078618"	3597.60772944742	0.168677112093131	0.056000657599199	0.00259484794157308	0.286766406460452
"ENSG00000081923"	45.4746245187101	0.93263563066425	0.266977891271849	0.000477078407523525	0.0938997738976239
"ENSG00000083454"	421.421046465155	-0.802270774187851	0.216492527107575	0.000210752319855734	0.0540153711698333
"ENSG00000085563"	42.7487304064536	0.982948766004036	0.265852045137765	0.000217859591804428	0.0543495282286422
"ENSG00000089472"	55.0297305556528	0.894237762490557	0.267605271358014	0.000832880492354897	0.137044841462098
"ENSG00000095303"	286.968032490349	1.08131868442688	0.245774626760984	1.08433034509837e-05	0.00567906232045868
"ENSG00000095739"	28.3310860745703	0.928887806102389	0.256779688805924	0.000297519240445509	0.0684429254735949
"ENSG00000100285"	194.008978306327	0.990785378673751	0.259811453823606	0.000137024481965074	0.0398117434962232
"ENSG00000100473"	615.013645032203	0.666798309018888	0.199125729529662	0.000812122927456706	0.135872677557548
"ENSG00000100644"	2096.48739466443	0.31113963685622	0.0831952183738875	0.000184112497396474	0.0503379787316883
"ENSG00000100731"	1157.827025246	0.273008777415628	0.082011662880432	0.000871891202061728	0.138194755526784
"ENSG00000101846"	519.729018850674	0.322469440362418	0.100473983961264	0.00132974384331952	0.179570312954126
"ENSG00000102908"	2139.59006857101	0.365724989658092	0.105881621451674	0.000552146505368305	0.103924325057291
"ENSG00000103495"	4693.57759657925	-0.227627721310288	0.0564195905662355	5.47067834851863e-05	0.0193822915841928
"ENSG00000103855"	62.2394277971142	1.61472440711654	0.262259599862923	7.41500335741449e-10	2.23302826108537e-06
"ENSG00000104447"	73.8064860516019	1.09577379809739	0.266322711532365	3.88089028165817e-05	0.0150803884944691
"ENSG00000105835"	3128.43238163017	0.315287220615428	0.0780960858290534	5.40997314230792e-05	0.0193822915841928
"ENSG00000106683"	2115.69824238268	0.392855786672179	0.111948876468527	0.000449384493261733	0.0909097230854954
